Index,Segment,Investor,stock,Holding_value,Quantity,Dec-23,Sep-23,Jun-23,Mar-23,Dec-22,Sep-22,Jun-22,Mar-22,Dec-21,Sep-21
1297,Institutional Investors,ICICI_Group,SPML_Infra_Ltd,13.60000038,1145406,0.023,0.023,0.023,0.025,0.023,0.025,0.025,0.027000001,0.028999999,0.030999999
1298,Institutional Investors,ICICI_Group,SRF_Ltd,0,0,0,0,0,0,0,0,0,0,0.011,0.012
1299,Institutional Investors,ICICI_Group,Sudarshan_Chemical_Industries_Ltd,158.6000061,2723251,0.039000001,0.041999999,0.07,0.071000002,0.039000001,0.067000002,0.057,0.043000001,0.039999999,0.041000001
1300,Institutional Investors,ICICI_Group,TVS_Holdings_Ltd,624.0999756,745937,0.037,0.012,0.041000001,0.046999998,0.037,0.048,0.052000001,0.050000001,0.050000001,0.048
1301,Institutional Investors,ICICI_Group,Sundaram_Finance_Ltd,0,0,0,0,0.015,0.028000001,0,0.028000001,0.029999999,0.030999999,0.025,0
1302,Institutional Investors,ICICI_Group,Sundram_Fasteners_Ltd,282.6000061,2744370,0.013,0.013,0.013,0.014,0.013,0.015,0.013,0,0,0
1303,Institutional Investors,ICICI_Group,Sun_Pharmaceutical_Industries_Ltd,12767,81406640,0.034000002,0.034000002,0,0.030999999,0.034000002,0.029999999,0.028000001,0.028000001,0.028999999,0.029999999
1304,Institutional Investors,ICICI_Group,Suprajit_Engineering_Ltd,70.19999695,1765029,0.013,0.01,0.011,0.011,0.013,0,0,0,0,0
1305,Institutional Investors,ICICI_Group,Symphony_Ltd,0,0,0,0,0,0,0,0,0.012,0,0,0
1306,Institutional Investors,ICICI_Group,Tata_Communications_Ltd,0,0,0,0,0,0,0,0.011,0.013,0.022,0,0
1307,Institutional Investors,ICICI_Group,Tata_Steel_Ltd,0,0,0,0.012,0,0.011,0,0.011,0,0.015,0.018999999,0.017999999
1308,Institutional Investors,ICICI_Group,TD_Power_Systems_Ltd,110.4000015,4090403,0.026000001,0.026000001,0,0.012,0.026000001,0.012,0.011,0.011,0,0.01
1309,Institutional Investors,ICICI_Group,Tech_Mahindra_Ltd,3322.100098,26513110,0.027000001,0.02,0.017999999,0.023,0.027000001,0.022,0.026000001,0.032000002,0.024,0.018999999
1310,Institutional Investors,ICICI_Group,Timken_India_Ltd,306.7000122,1091362,0.015,0.012,0,0,0.015,0,0,0,0,0
1311,Institutional Investors,ICICI_Group,Titan_Company_Ltd,0,0,0,0,0,0,0,0,0,0.01,0.011,0.012
1312,Institutional Investors,ICICI_Group,Tamil_Nadu_Newsprint_And_Papers_Ltd,40.40000153,1620642,0.023,0,0,0,0.023,0,0,0.024,0.028999999,0.028999999
1313,Institutional Investors,ICICI_Group,Torrent_Pharmaceuticals_Ltd,0,0,0,0,0,0.013,0,0.012,0.015,0.014,0.025,0.013
1314,Institutional Investors,ICICI_Group,Cholamandalam_Financial_Holdings_Ltd,822.4000244,8093295,0.043000001,0.061000001,0.068999998,0.071000002,0.043000001,0.077,0.061999999,0.057999998,0.061999999,0.061000001
1315,Institutional Investors,ICICI_Group,TVS_Motor_Company_Ltd,7469.899902,36598287,0.077,0.085000001,0.085000001,0.093999997,0.077,0.093999997,0.083999999,0.093000002,0.097999997,0.097999997
1316,Institutional Investors,ICICI_Group,Titagarh_Rail_Systems_Ltd,142.1000061,1682048,0.013,0.012,0,0,0.013,0,0,0,0,0
1317,Institutional Investors,ICICI_Group,United_Breweries_Ltd,0,0,0,0,0,0,0,0,0,0.028000001,0.035999998,0.023
1318,Institutional Investors,ICICI_Group,UltraTech_Cement_Ltd,4568.5,4826183,0.017000001,0.015,0.013,0.014,0.017000001,0.015,0.013,0.012,0,0
1319,Institutional Investors,ICICI_Group,Universal_Cables_Ltd,41.20000076,1042091,0.029999999,0,0,0,0.029999999,0,0,0,0,0
