sectors,Company_name
Ceramics/Marble/Granite/Sanitaryware,Oriental_Trimex
Dyes_&_Pigments,Sudarshan_Chem
Dyes_&_Pigments,Vidhi_Spec
Dyes_&_Pigments,Kiri_Industries
Dyes_&_Pigments,Bhageria_Indu
Dyes_&_Pigments,Shree_Pushkar
Dyes_&_Pigments,Asahi_Songwon
Dyes_&_Pigments,Dynemic_Product
Dyes_&_Pigments,Poddar_Pigments
Dyes_&_Pigments,AksharChem
Dyes_&_Pigments,Paragon_Fine
Dyes_&_Pigments,Ducol_Organics
Dyes_&_Pigments,Prolife_Industr
Dyes_&_Pigments,Yasons_Chemex
Domestic_Appliances,CG_Consumer
Domestic_Appliances,Whirlpool
Domestic_Appliances,Bajaj_Electric
Domestic_Appliances,TTK_Prestige
Domestic_Appliances,Electronics_Mar
Domestic_Appliances,Symphony
Domestic_Appliances,IFB_Industries
Domestic_Appliances,PG_Electroplast
Domestic_Appliances,HINDWAREAP
Domestic_Appliances,Stove_Kraft
Domestic_Appliances,Butterfly
Diversified_Chemicals,Pidilite_Ind
Diversified_Chemicals,Godrej_Ind
Diversified_Chemicals,Galaxy_Surfacta
Diversified_Chemicals,HP_Adhesives
Diversified_Chemicals,Aarti_Surfactan
Diversified_Chemicals,Jocil
Diversified,ITC
Diversified,Grasim
Diversified,SRF
Diversified,Linde_India
Diversified,Tata_Tech
Diversified,3M_India
Diversified,Star_Health
Diversified,Guj_State_Petro
Diversified,Century
Diversified,DCM_Shriram
Diversified,Birla_Corp
Diversified,Prism_Johnson
Diversified,Surya_Roshni
Diversified,Kesoram
Diversified,BALMLAWRIE
Diversified,S_H_Kelkar
Diversified,Jash_Engineerin
Diversified,Texmaco_Infra
Diversified,Manaksia
Diversified,Oricon_Ent
Diversified,SKP_Bearing
Diversified,Saakshi_Medtech
Diversified,Gillanders_Arbu
Diversified,Infollion
Diversified,Beardsell
Diversified,Debock_Ind.
Diversified,Graphisads
Diversified,Binani_Ind
Diamond_&_Jewellery,Titan_Company
Diamond_&_Jewellery,Kalyan_Jeweller
Diamond_&_Jewellery,Rajesh_Exports
Diamond_&_Jewellery,Vaibhav_Global
Diamond_&_Jewellery,Senco_Gold
Diamond_&_Jewellery,Thangamayil
Diamond_&_Jewellery,PC_Jeweller
Diamond_&_Jewellery,Goldiam_Inter
Diamond_&_Jewellery,D._P._Abhushan
Diamond_&_Jewellery,Motisons_Jewell
Diamond_&_Jewellery,Sky_Gold
Diamond_&_Jewellery,Renaissance
Diamond_&_Jewellery,Radhika_Jewel
Diamond_&_Jewellery,Tribhovandas
Diamond_&_Jewellery,RBZ_Jewellers
Diamond_&_Jewellery,Moksh_Ornaments
Diamond_&_Jewellery,Kanani_Ind
Diamond_&_Jewellery,Goenka_Diamond
Diamond_&_Jewellery,Lypsa_Gems
Defence,Bharat_Dynamics
Defence,Zen_Tech
Defence,Astra_Microwave
Defence,Paras_Defence
Defence,Krishna_Defence
